#,Category,Qlik Sense Formula,Qlik Example,ThoughtSpot Equivalent,ThoughtSpot Example,Comments / Context,status
A01,Aggregation,Sum(expr),Sum(Revenue),sum(col),sum(revenue),Direct equivalent. Sums all values of a measure column.,ok
A02,Aggregation,Avg(expr),Avg(Revenue),average(col),average(revenue),ThoughtSpot uses the full word 'average'; Qlik uses the abbreviation 'Avg'.,ok
A03,Aggregation,Count(expr),Count(OrderID),count(col),count(order_id),Counts total rows. Both include NULLs in count unless DISTINCT is used.,ok
A04,Aggregation,Count(DISTINCT expr),Count(DISTINCT CustomerID),unique count(col),unique count(customer_id),ThoughtSpot uses 'unique count' as a single keyword instead of a DISTINCT modifier.,ok
A05,Aggregation,Min(expr),Min(Price),min(col),min(price),Direct equivalent. Returns the smallest value in the aggregated set.,ok
A06,Aggregation,Max(expr),Max(Price),max(col),max(price),Direct equivalent. Returns the largest value in the aggregated set.,ok
A07,Aggregation,Stdev(expr),Stdev(Revenue),stddev(col),stddev(revenue),Standard deviation. ThoughtSpot spells it 'stddev'; Qlik uses 'Stdev'.,ok
A08,Aggregation,Median(expr),Median(Sales),median(col),median(sales),Direct equivalent. Both return the statistical middle value.,ok
A09,Aggregation,Mode(expr),Mode(Category),No direct equivalent,Use a workaround with group_count and conditional logic,Qlik returns the most frequent value. ThoughtSpot has no built-in mode() function.,ok
A10,Aggregation,Only(expr),Only(Region),No direct equivalent,"Use if(unique count(col)=1, col, null) as a workaround","Qlik returns a value only if all rows in the group share one value, else NULL. ThoughtSpot has no direct equivalent.",ok
A11,Aggregation,Sum(TOTAL expr),Sum(TOTAL Revenue),"group_aggregate(sum(col), {}, {})","group_aggregate(sum(revenue), {}, {})",TOTAL in Qlik ignores all chart dimensions to give a grand total. ThoughtSpot achieves this with group_aggregate using empty groupings and filters.,ok
A12,Aggregation,Sum(TOTAL <dim> expr),Sum(TOTAL <Region> Revenue),"group_aggregate(sum(col), {dim}, {})","group_aggregate(sum(revenue), {region}, {})",Qlik TOTAL <dim> ignores all dims except the specified one. ThoughtSpot uses group_aggregate with that dim in the groupings list.,ok
A13,Aggregation,Variance(expr),Variance(Revenue),variance(col),variance(revenue),Direct equivalent. Returns the statistical variance of a measure column.,ok
CA01,Conditional Aggregation,"Sum(If(cond, expr))","Sum(If(Region='West', Revenue))","sum_if(condition, col)","sum_if(region = 'West', revenue)",ThoughtSpot has a dedicated sum_if(). Qlik nests If() inside Sum() to achieve conditional summing.,ok
CA02,Conditional Aggregation,"Avg(If(cond, expr))","Avg(If(Region='West', Revenue))","average_if(condition, col)","average_if(region = 'West', revenue)","ThoughtSpot provides average_if() natively. In Qlik, nest If() inside Avg().",ok
CA03,Conditional Aggregation,"Count(If(cond, expr))","Count(If(Status='Active', CustomerID))","count_if(condition, col)","count_if(status = 'Active', customer_id)",ThoughtSpot has a built-in count_if(). Qlik achieves this by nesting If() inside Count().,ok
CA04,Conditional Aggregation,"Count(DISTINCT If(cond,expr))","Count(DISTINCT If(Status='Active',CustomerID))","unique_count_if(condition, col)","unique_count_if(status = 'Active', customer_id)",ThoughtSpot has unique_count_if(). Qlik uses Count(DISTINCT If(...)).,ok
CA05,Conditional Aggregation,"Stdev(If(cond, expr))","Stdev(If(Region='West', Revenue))","stddev_if(condition, col)","stddev_if(region = 'West', revenue)",ThoughtSpot has stddev_if() for conditional standard deviation. Qlik nests If() inside Stdev().,ok
CA06,Conditional Aggregation,"Variance(If(cond, expr))","Variance(If(Region='West', Revenue))","variance_if(condition, col)","variance_if(region = 'West', revenue)",ThoughtSpot has variance_if() natively. Qlik nests If() inside Variance().,ok
