Category,Property,Description,Agentic / Semantic Layer Importance,Human Importance,Agentic Importance,Snowflake SV Equivalent,Snowflake Notes / Pros & Cons,Databricks UC Equivalent,Databricks Notes / Pros & Cons,dbt MetricFlow Equivalent,Cube.dev Equivalent,Other Platform Notes
Model-Level,model.name,"Display name of the model shown in ThoughtSpot search and Spotter.","Top-level semantic identifier; agents use the name to select the correct domain model without ambiguity in multi-model environments.","High — first label users see in the search bar and explorer","High — LLMs use the model name to route queries; wrong name causes model misselection","name (top-level YAML key)","Pro: Required; consumed by Cortex Analyst as the primary label. Con: Must be a valid Snowflake identifier — spaces require snake_casing.","View name in CREATE VIEW DDL","Pro: Fully qualified catalog.schema.view_name gives agents a governance-aware locator. Con: Renaming requires DROP/CREATE.","semantic_model.name","cube.name / view.name","LookML: explore label; Power BI: model name; AtScale: cube name"
Model-Level,model.description,"Free-text description of the model's business purpose.","Human-readable context agents and LLMs use to decide which model to query; prevents model misselection in multi-model environments.","High — shown as tooltip and in Explorer; critical for human comprehension","High — primary signal for LLM model disambiguation; richer = more accurate routing","description (top-level YAML key)","Pro: Consumed by Cortex Analyst for model-level context. Con: No structured tagging — all context is free-text.","comment (top-level YAML key)","Pro: Consumed by Genie for natural-language understanding. Con: Single flat string; no structured sub-fields.","semantic_model.description","cube.description","LookML: explore description; Atlan: userDescription + README; Power BI: model description"
Model-Level,model.model_tables[],"List of ThoughtSpot table objects (and GUIDs) included in the model.","Defines the data perimeter of the semantic model; agents need to know which physical tables are reachable.","Low — internal plumbing; humans see columns not table lists","Medium — defines which physical tables an agent can query; a misconfigured perimeter causes cross-domain leakage","tables[] + base_table entries","Pro: Explicit physical FQN (DB.SCHEMA.TABLE) — more portable than GUIDs. Con: Multi-aliased tables (self-joins) require wrapper views.","source: + joins[].source","Pro: Single source + join tree is easier for agents to traverse. Con: Multi-fact models need restructuring.","semantic_model.model: ref('table')","cube.sql_table or cube.sql","LookML: view sql_table_name; dbt: ref() model reference"
Model-Level,"model.joins[] (inline on)","Inline join definitions specifying how tables connect (condition / type / cardinality).","Relationship graph is the backbone of semantic understanding; agents rely on join paths to resolve cross-table requests without raw SQL.","Low — humans do not see join definitions directly","High — join correctness directly determines whether agent-generated SQL produces correct results","relationships[] (top-level: left_table / right_table / relationship_columns)","Pro: Named; discoverable by Cortex Analyst for automatic join resolution. Con: Equality-only joins on declared column pairs; no expression or inequality conditions.","joins[].on (SQL boolean expression)","Pro: Full SQL in on: — supports inequality and function-based conditions. Con: Agent must understand nested hierarchy to traverse.","entities[] with type: foreign — MetricFlow resolves joins via entity graph","cube.joins[] (sql + relationship type)","LookML: join sql_on + relationship; AtScale: dimension-to-fact relationships"
Model-Level,"model.joins[] (referencing_join)","Reference to a pre-defined join already declared in the ThoughtSpot Table TML.","Reuses centrally governed join definitions; agents benefit because join logic is defined once at the table layer — reducing inconsistency risk.","Low — internal reference; transparent to users","Medium — inherited joins carry same semantics as inline; agent query correctness depends on correct resolution","relationships[] (resolved before YAML generation)","Pro: Same end result — resolved pair-wise relationships. Con: TS referencing_join indirection concept has no Snowflake analog.","joins[] (resolved to on: expression)","Pro: Resolved joins become explicit SQL — portable and transparent. Con: TS indirection concept is lost.","Not applicable — dbt resolves via entity graph, not named join references","Not applicable","LookML: explore join name; AtScale: relationship name"
Model-Level,model.joins_with[],"Model-level augmentation joins — joins an uploaded CSV or external dataset to the model.","Supports ad-hoc data enrichment without modifying physical tables; agents can reach user-uploaded reference data through the same semantic interface.","Medium — enables self-service data blending for analysts","Low — uploaded datasets are unstructured; agents cannot reliably use ad-hoc uploads","Not supported","Con: Augmentation table must be loaded into Snowflake and registered as a standard base_table.","Not supported","Con: External datasets must be registered as UC tables before joining.","Not applicable","Not applicable","LookML: derived tables for data blending"
Model-Level,model.column_groups[],"UI folder structure organising columns into named panels in the ThoughtSpot search bar.","Improves navigability for humans; for agents folder names serve as implicit domain tags during schema introspection.","High — directly controls how humans browse and discover fields in the search panel","Low — agents query by name/synonym not by folder; minimal effect on query accuracy","Not supported","Con: No grouping concept in Snowflake SV. Folder structure must be re-created in the BI or agent orchestration layer.","Not supported","Con: Genie has no panel/folder equivalent. Subject area metadata must be embedded in display_name or comment.","Not applicable — dbt Explorer organises by semantic_model","cube.views[].folders[]","LookML: group_label + group_item_label; Cube: views[].folders[]; Power BI: displayFolder"
Model-Level,model.filters[],"Model-level pre-filters applied before every query (e.g. exclude test records; scope to active region).","Governance guardrail — ensures agents cannot accidentally query outside the permitted data scope.","Medium — users may be unaware filters exist; mandatory filters prevent accidental over-access","High — enforces data perimeter at query time; critical for compliant agent access","Not directly supported (no row-level pre-filter in SV YAML)","Con: Must be a Snowflake row access policy or view wrapper. Pro: Row access policy is engine-enforced — stronger than an advisory filter.","filter: (top-level SQL boolean expression)","Pro: Native top-level filter in UC MV; simple conditions translate directly. Con: Complex OR logic or parameter-dependent filters require manual SQL rewriting.","metrics[].filter (per-metric Jinja filter)","cube.segments[] or pre_aggregations + refresh_key","LookML: sql_always_where (invisible mandatory filter); Power BI: RLS DAX filter"
Model-Level,model.filters[].is_mandatory,"Flag that prevents users from removing a model-level filter.","Ensures agents and users cannot bypass data access restrictions defined by the model owner; critical for compliance.","Low — hidden from users; compliance-facing","High — without mandatory enforcement agents can bypass scope restrictions","Not supported","Con: Snowflake row access policies are always mandatory by design (stronger). No advisory flag needed.","Not supported (filter: always enforced in UC MV)","Pro: UC filter is always mandatory — no user-removable concept; stronger than a flag.","Not applicable","Not applicable","LookML: sql_always_where is always mandatory; Power BI RLS always enforced"
Model-Level,model.filters[].apply_on_tables,"Scopes a model filter to a specific table within a multi-fact model.","Enables per-fact-table data scoping; without this a filter can incorrectly restrict unrelated fact tables.","Low — internal; users do not configure this","Medium — misconfigured table scope causes incorrect data restriction on multi-fact agent queries","Not supported","Con: No table-scoped filter. Must be a view wrapper on only the relevant table.","Not directly supported (single filter: applies to full view)","Con: Table-specific filtering requires separate metric views per fact or inline SELECT with WHERE as source.","metrics[].filter scoped per metric (closest equivalent)","cube.segments[] with cube-level scope","LookML: access_filter scoped to a join"
Model-Level,model.constraints,"Rolling date window constraints limiting how far back ThoughtSpot scans on large fact tables.","Performance guardrail for agents; prevents full-table scans on large time-series datasets and communicates data freshness boundary.","Low — internal optimization; transparent to users","Medium — prevents agents from triggering runaway queries on billions of historical rows","Not supported","Con: No rolling window concept. Must be a WHERE clause in a view wrapper or enforced by a query rewriter.","filter: can express a fixed date predicate","Con: UC filter is static SQL — not a dynamic rolling window. A rolling window requires a parameterized view or scheduled filter update.","Not applicable — dbt handles this via incremental model logic","cube.pre_aggregations.build_range_start / build_range_end","LookML: persist_for or PDT refresh_key"
Model-Level,model.aggregated_models,"Links pre-aggregated summary models to the base model for automatic query routing and performance optimization.","Transparent query acceleration; agents and users get fast responses at coarser granularities without knowing which physical table was queried.","Medium — users benefit from speed without being aware of the optimization","Low — agents do not need to know about routing; this is transparent infrastructure","Not supported","Con: No query routing concept. Acceleration handled by materialized views or clustering keys outside the semantic layer.","materialization: (strategy: refresh or auto — Experimental)","Pro: Native materialization in UC MV — can auto-materialize for query acceleration. Con: Less granular control than TS pre-aggregated models.","saved_queries[].exports[].config.export_as: table (materialized output)","cube.pre_aggregations[] (declarative rollup scheduling)","LookML: PDTs (Persistent Derived Tables); AtScale: query routing to aggregate views"
Model-Level,model.properties.is_bypass_rls,"Allows the model to bypass ThoughtSpot row-level security rules.","Controls whether an agent or service account sees filtered or unfiltered data; critical when building admin analytics tools.","Low — admin-facing only; regular users never set this","High — determines data visibility scope for service accounts and privileged agents","Not supported","Con: No RLS bypass concept. Role-based access managed at Snowflake role/row access policy level.","Not supported","Con: Access entirely managed by Unity Catalog privileges and row filters. No model-level bypass hint.","Not applicable","cube.access_policy[] controls group-level access","LookML: required_access_grants; Power BI: OLS (object-level security)"
Model-Level,model.properties.spotter_config.is_spotter_enabled,"Enables or disables ThoughtSpot's Spotter AI search for this model.","Top-level agent access switch; disabling prevents Spotter from querying the model. Equivalent to marking a semantic model as off-limits for AI.","High — determines whether the model appears in the AI search experience for users","High — binary on/off for all agent access to this model","Not supported (Cortex Analyst access controlled by Snowflake role grants)","Con: No AI-enabled/disabled switch in SV YAML.","Not supported (Genie access controlled by UC permissions and workspace sharing)","Con: No YAML flag — access governed by UC privileges.","Not applicable — dbt Semantic Layer access controlled by API tokens and job permissions","cube.public: false on a view (hides from API consumers)","LookML: hidden: true on an explore; Atlan: certification status as soft gate"
Column-Level,columns[].name,"Display name of the column shown in the ThoughtSpot search bar and Spotter.","Primary label agents use to reference data concepts; a clear business-friendly name eliminates ambiguity in natural-language queries.","High — most visible property; what users type in search and see in reports","High — primary identifier for NL query matching; poor names cause agent query misses","name on each dimension / time_dimension / metric entry","Pro: Used as the primary SQL identifier by Cortex Analyst. Con: Must be a valid Snowflake identifier — no spaces; display names need snake_casing.","name (identifier) + display_name (optional human label — v1.1)","Pro: UC separates machine identifier (name) from human label (display_name) — best of both worlds. Con: More fields to maintain.","dimension.label / measure.label — display name separate from identifier name","cube.title — display name separate from identifier","LookML: label; Power BI: displayName; Cube: title"
Column-Level,columns[].properties.column_type,"Classifies a column as ATTRIBUTE (dimension) or MEASURE (metric).","Fundamental semantic classification; agents use this to know whether a field groups/filters data or aggregates it — the core distinction of any semantic layer.","Medium — implicit in the UX (measures aggregate; attributes filter)","High — without correct type classification agents misaggregrate or mis-filter data; most common source of wrong results","Implicit — placement in dimensions[] vs time_dimensions[] vs metrics[]","Pro: Structural placement is unambiguous — no parsing required. Con: No explicit column_type field; type inferred from array.","Implicit — placement in dimensions[] vs measures[]","Pro: Same structural approach. Con: No time_dimensions[] in UC — all dates are plain dimensions.","dimension.type: categorical or time; measure.agg defines measure","cube.dimensions vs cube.measures (structural placement)","LookML: dimension type vs measure type; Power BI: ATTRIBUTE column vs measure"
